number_image,number_layer,number_neurons,average,range,computation_time,average_test_time
50,1,32,0.5650000000000001,0.7,5.763740301132202,0.09911000088322908
50,1,64,0.615,0.4,4.636035203933716,0.11191999074071646
50,1,128,0.5899999999999999,0.5,4.670225143432617,0.19938000186812133
50,2,96,0.6199999999999999,0.29999999999999993,4.709595203399658,0.12861999566666782
50,2,192,0.8250000000000002,0.5,4.804301500320435,0.23131999769248068
50,3,224,0.69,0.5,4.817936897277832,0.2396799944108352
100,1,32,0.6375,0.25,8.879296779632568,0.10520500072743744
100,1,64,0.7150000000000001,0.45000000000000007,8.92733383178711,0.11878499935846776
100,1,128,0.7574999999999998,0.5,9.19934606552124,0.21767500147689134
100,2,96,0.7550000000000001,0.45,9.08771562576294,0.12744000414386392
100,2,192,0.6725,0.3,9.016161441802979,0.2262249938212335
100,3,224,0.7625000000000001,0.35,9.206961631774902,0.246915000025183
150,1,32,0.7,0.2333333333333334,13.24082064628601,0.10654499928932637
150,1,64,0.6433333333333331,0.2666666666666666,13.43233323097229,0.11322999489493668
150,1,128,0.8366666666666669,0.33333333333333337,13.407305240631104,0.2145649865269661
150,2,96,0.7566666666666668,0.3666666666666667,13.337418794631958,0.1253100053872913
150,2,192,0.7666666666666666,0.4,13.330888271331787,0.22503499349113554
150,3,224,0.9116666666666667,0.16666666666666663,13.342073202133179,0.2520599984563887
200,1,32,0.7275000000000001,0.475,17.514188766479492,0.1040099945385009
200,1,64,0.7187499999999999,0.17500000000000004,17.52674651145935,0.11676500143948942
200,1,128,0.72375,0.5,17.564827919006348,0.18956000567413867
200,2,96,0.7799999999999998,0.375,17.53895330429077,0.12790499604307115
200,2,192,0.9025000000000001,0.275,17.801804065704346,0.22765501344110817
200,3,224,0.76375,0.375,17.59397315979004,0.23350499686785042
250,1,32,0.7070000000000001,0.38,21.60600471496582,0.10494499874766916
250,1,64,0.7429999999999999,0.17999999999999994,22.578256130218506,0.12142499908804893
250,1,128,0.813,0.24,22.2484872341156,0.2253049984574318
250,2,96,0.7609999999999999,0.2599999999999999,22.17312788963318,0.12165000662207603
250,2,192,0.9200000000000002,0.18000000000000005,22.42080307006836,0.24580000026617196
250,3,224,0.8620000000000001,0.24,22.30574655532837,0.2454450004734099
300,1,32,0.7566666666666666,0.49999999999999994,26.34326934814453,0.10436999436933547
300,1,64,0.7558333333333331,0.30000000000000004,26.376517295837402,0.12234500027261674
300,1,128,0.7758333333333333,0.41666666666666663,26.320501804351807,0.2058599959127605
300,2,96,0.8816666666666668,0.43333333333333335,26.230247020721436,0.12043500028084964
300,2,192,0.9116666666666667,0.2666666666666667,26.510870695114136,0.20701999601442367
300,3,224,0.9266666666666667,0.21666666666666667,26.55756974220276,0.23829499550629407
350,1,32,0.7235714285714284,0.15714285714285714,30.226858615875244,0.102605001302436
350,1,64,0.7935714285714286,0.27142857142857146,30.511321544647217,0.10784999758470803
350,1,128,0.9528571428571428,0.3571428571428571,30.69302225112915,0.19271500641480088
350,2,96,0.7914285714285715,0.3571428571428571,30.49265694618225,0.12259999057278036
350,2,192,0.9992857142857143,0.014285714285714235,30.927377700805664,0.21883001318201423
350,3,224,0.9507142857142858,0.24285714285714288,31.00574016571045,0.2478149894159287
400,1,32,0.703125,0.16249999999999998,34.4269700050354,0.10022000351455063
400,1,64,0.8400000000000002,0.2875,34.67703175544739,0.11303000501357019
400,1,128,0.9662500000000002,0.19999999999999996,35.11350965499878,0.19626000139396638
400,2,96,0.9275,0.32499999999999996,34.79118537902832,0.12495000555645674
400,2,192,0.9868750000000001,0.26249999999999996,35.225759744644165,0.21208001126069576
400,3,224,0.97,0.25,35.343772888183594,0.23421499645337462
450,1,32,0.7588888888888891,0.30000000000000004,38.70538854598999,0.10589499725028872
450,1,64,0.7527777777777777,0.34444444444444444,39.040786027908325,0.11789999261964113
450,1,128,0.9044444444444444,0.2777777777777778,39.38088011741638,0.20126999879721552
450,2,96,0.9016666666666667,0.25555555555555554,38.99671530723572,0.12444500171113759
450,2,192,0.9894444444444443,0.21111111111111114,39.60123109817505,0.21579500462394208
450,3,224,0.971111111111111,0.24444444444444446,39.483274698257446,0.23001500230748206
500,1,32,0.7605,0.39,42.97688937187195,0.09990500111598521
500,1,64,0.8280000000000001,0.29000000000000004,43.293662548065186,0.11666000063996762
500,1,128,0.9524999999999999,0.24,43.59768772125244,0.20576500101014972
500,2,96,0.853,0.31000000000000005,43.22000241279602,0.12871499347966164
500,2,192,1.0,0.0,43.859904289245605,0.2248800010420382
500,3,224,0.9765,0.20999999999999996,43.983891010284424,0.22758999839425087
550,1,32,0.7831818181818184,0.17272727272727273,47.253825426101685,0.10344999318476766
550,1,64,0.7763636363636363,0.30000000000000004,47.58591413497925,0.11698999733198434
550,1,128,0.9622727272727273,0.2272727272727273,47.879985332489014,0.19365000189282
550,2,96,0.885909090909091,0.23636363636363633,47.64191031455994,0.12537500879261643
550,2,192,0.9968181818181818,0.0636363636363636,48.189969062805176,0.22619998781010509
550,3,224,0.975,0.23636363636363633,48.58632731437683,0.24576499126851561
600,1,32,0.7220833333333333,0.1499999999999999,51.58577084541321,0.10410500108264387
600,1,64,0.8916666666666668,0.25,52.09255576133728,0.11666500358842313
600,1,128,0.9904166666666668,0.033333333333333326,52.28606867790222,0.1870550069725141
600,2,96,0.9616666666666666,0.21666666666666667,52.259379863739014,0.1254549977602437
600,2,192,1.0,0.0,52.565011739730835,0.2233400067780167
600,3,224,0.9875,0.21666666666666667,52.62283229827881,0.22761000145692378
650,1,32,1.0,0.0,11.15306282043457,0.10760000732261688
650,1,64,1.0,0.0,11.172814130783081,0.11910500179510564
650,1,128,1.0,0.0,11.289190292358398,0.202775007346645
650,2,96,1.0,0.0,11.226644515991211,0.12049000361002982
650,2,192,1.0,0.0,11.303427696228027,0.2260800014482811
650,3,224,1.0,0.0,11.372568845748901,0.22937000612728298
700,1,32,1.0,0.0,12.033674478530884,0.10490499844308943
700,1,64,1.0,0.0,12.00024938583374,0.11811999138444662
700,1,128,1.0,0.0,12.110862731933594,0.22517500328831375
700,2,96,1.0,0.0,12.036651372909546,0.12331001053098589
700,2,192,1.0,0.0,12.150709390640259,0.22659499663859606
700,3,224,1.0,0.0,12.279450178146362,0.2482199983205646
750,1,32,1.0,0.0,12.769673824310303,0.10213999485131353
750,1,64,1.0,0.0,12.799658298492432,0.11671000102069229
750,1,128,1.0,0.0,13.01468276977539,0.21295999467838556
750,2,96,1.0,0.0,12.848859310150146,0.1254400034667924
750,2,192,1.0,0.0,13.027068376541138,0.21962999016977847
750,3,224,1.0,0.0,12.979661464691162,0.229285002569668
800,1,32,1.0,0.0,13.66927433013916,0.10105500114150345
800,1,64,1.0,0.0,13.639665842056274,0.11358000338077545
800,1,128,1.0,0.0,13.81425428390503,0.20885999547317624
800,2,96,1.0,0.0,13.672081470489502,0.12394999503158034
800,2,192,1.0,0.0,13.818994760513306,0.22003000776749104
800,3,224,1.0,0.0,13.890554428100586,0.2451749955071136
850,1,32,1.0,0.0,14.393234014511108,0.10482500365469605
850,1,64,1.0,0.0,14.528239011764526,0.11860999802593142
850,1,128,1.0,0.0,14.65201187133789,0.20704500784631819
850,2,96,1.0,0.0,14.573755979537964,0.1321950025158003
850,2,192,1.0,0.0,14.663369417190552,0.21952500101178885
850,3,224,1.0,0.0,14.620285749435425,0.24215500452555716
900,1,32,1.0,0.0,15.305084228515625,0.10298499837517738
900,1,64,1.0,0.0,15.365166664123535,0.11934499780181795
900,1,128,1.0,0.0,15.496472835540771,0.21235999010968953
900,2,96,1.0,0.0,15.431220293045044,0.12236000620760024
900,2,192,1.0,0.0,15.53127646446228,0.22350999643094838
900,3,224,1.0,0.0,15.631342649459839,0.23606999893672764
950,1,32,1.0,0.0,16.098942756652832,0.1039400027366355
950,1,64,1.0,0.0,16.18080711364746,0.11328499822411686
950,1,128,1.0,0.0,16.568857669830322,0.2278500032844022
950,2,96,1.0,0.0,16.280778169631958,0.12524999619927257
950,2,192,1.0,0.0,16.381789445877075,0.22759499843232334
950,3,224,1.0,0.0,16.470763444900513,0.23016500636003911
1000,1,32,1.0,0.0,16.986711025238037,0.10966500849463046
1000,1,64,1.0,0.0,17.09239673614502,0.11415999615564942
1000,1,128,1.0,0.0,17.14067506790161,0.1947000011568889
1000,2,96,1.0,0.0,17.120998859405518,0.12573000567499548
1000,2,192,1.0,0.0,17.331847190856934,0.22734000231139362
1000,3,224,1.0,0.0,17.240885257720947,0.23812000290490687
1050,1,32,1.0,0.0,17.801926374435425,0.1130749995354563
1050,1,64,1.0,0.0,17.949341535568237,0.12107000511605293
1050,1,128,1.0,0.0,17.94424343109131,0.20799999474547803
1050,2,96,1.0,0.0,17.901034355163574,0.13125000114087015
1050,2,192,1.0,0.0,18.177002906799316,0.23938999802339822
1050,3,224,1.0,0.0,18.13152766227722,0.24585000064689663
1100,1,32,1.0,0.0,18.663527488708496,0.10317499982193112
1100,1,64,1.0,0.0,18.695311784744263,0.11928000603802502
1100,1,128,1.0,0.0,18.875118017196655,0.2045800007181242
1100,2,96,1.0,0.0,18.71181058883667,0.12691000010818243
1100,2,192,1.0,0.0,18.993133306503296,0.21493500098586082
1100,3,224,1.0,0.0,19.012643814086914,0.2340450038900599
1150,1,32,1.0,0.0,19.38027811050415,0.10718500416260213
1150,1,64,1.0,0.0,19.655230283737183,0.12017000408377498
1150,1,128,1.0,0.0,19.699362754821777,0.21506500197574496
1150,2,96,1.0,0.0,19.555028438568115,0.1280949974898249
1150,2,192,1.0,0.0,19.766791105270386,0.22701499110553414
1150,3,224,1.0,0.0,19.749969959259033,0.2296649938216433
1200,1,32,1.0,0.0,20.285101890563965,0.10885500232689083
1200,1,64,1.0,0.0,20.423279523849487,0.1195799937704578
1200,1,128,1.0,0.0,20.45556330680847,0.20813000155612826
1200,2,96,1.0,0.0,20.439372539520264,0.13503500958904624
1200,2,192,1.0,0.0,20.596242427825928,0.2172050008084625
1200,3,224,1.0,0.0,20.54979181289673,0.2265799936139956
1250,1,32,1.0,0.0,21.140602111816406,0.10592499456834048
1250,1,64,1.0,0.0,21.211437225341797,0.11793500452768058
1250,1,128,1.0,0.0,21.3431556224823,0.21008499606978148
1250,2,96,1.0,0.0,21.31055974960327,0.13415499415714294
1250,2,192,1.0,0.0,21.439101457595825,0.24500500294379893
1250,3,224,1.0,0.0,21.447251319885254,0.2315350080607459
1300,1,32,0.9348214285714287,0.9642857142857143,23.348369121551514,0.1064049982232973
1300,1,64,0.9526785714285715,0.0892857142857143,23.49815034866333,0.11443500989116728
1300,1,128,0.975,0.0357142857142857,23.55670976638794,0.20385999814607203
1300,2,96,0.8928571428571429,0.9642857142857143,23.591334342956543,0.12174999283161014
1300,2,192,0.9803571428571429,0.0535714285714286,23.70380425453186,0.22845499916002154
1300,3,224,0.9169642857142858,0.9464285714285714,23.85081195831299,0.24977499851956964
1350,1,32,0.9454545454545455,0.12121212121212122,27.698179244995117,0.10305499890819192
1350,1,64,0.8946969696969698,0.16666666666666674,27.87930965423584,0.1107850024709478
