number_image,number_layer,number_neurons,average,range,computation_time
400,3,224,0.9918750000000001,0.11250000000000004,9.867621421813965
450,1,32,0.8055555555555557,0.4111111111111111,10.437462091445923
450,1,64,0.8655555555555555,0.3222222222222222,10.513637065887451
450,1,128,0.8449999999999998,0.3222222222222222,10.739057540893555
450,2,96,0.912777777777778,0.24444444444444446,10.486960411071777
450,2,192,0.9894444444444443,0.21111111111111114,11.158550024032593
450,3,224,0.9783333333333333,0.21111111111111114,11.146651268005371
500,1,32,0.772,0.29000000000000004,11.905959844589233
500,1,64,0.7910000000000001,0.31000000000000005,11.858293771743774
500,1,128,0.8305000000000001,0.27,12.057837724685669
500,2,96,0.8855000000000001,0.26,12.233690738677979
500,2,192,1.0,0.0,12.538251161575317
500,3,224,0.9564999999999999,0.22999999999999998,12.73247241973877
550,1,32,0.7772727272727273,0.1272727272727272,13.217810869216919
550,1,64,0.7759090909090909,0.31818181818181823,13.327808856964111
550,1,128,0.9445454545454546,0.2545454545454545,13.857213735580444
550,2,96,0.875,0.30000000000000004,13.486459493637085
550,2,192,1.0,0.0,14.030613422393799
550,3,224,0.8918181818181818,0.30000000000000004,14.002955436706543
600,1,32,0.8091666666666667,0.4,15.142263889312744
600,1,64,0.8487499999999999,0.25,14.933506965637207
600,1,128,0.9529166666666666,0.2833333333333333,15.564582586288452
600,2,96,0.9412500000000001,0.21666666666666667,15.56074333190918
600,2,192,1.0,0.0,15.779572010040283
600,3,224,0.9979166666666668,0.033333333333333326,16.117916107177734
650,1,32,1.0,0.0,3.174736499786377
650,1,64,1.0,0.0,3.190359354019165
650,1,128,1.0,0.0,3.2201364040374756
650,2,96,1.0,0.0,3.427586555480957
650,2,192,1.0,0.0,3.3068909645080566
650,3,224,1.0,0.0,3.3470520973205566
700,1,32,1.0,0.0,3.4007723331451416
700,1,64,1.0,0.0,3.3970654010772705
700,1,128,1.0,0.0,3.6616439819335938
700,2,96,1.0,0.0,3.465696096420288
700,2,192,1.0,0.0,3.585578441619873
700,3,224,1.0,0.0,3.659437894821167
750,1,32,1.0,0.0,3.8361330032348633
750,1,64,1.0,0.0,3.657078504562378
750,1,128,1.0,0.0,3.7022697925567627
750,2,96,1.0,0.0,3.89644455909729
750,2,192,1.0,0.0,3.770200729370117
750,3,224,1.0,0.0,3.8290605545043945
800,1,32,1.0,0.0,4.076475381851196
800,1,64,1.0,0.0,3.9398837089538574
800,1,128,1.0,0.0,3.967686176300049
800,2,96,1.0,0.0,4.136383533477783
800,2,192,1.0,0.0,4.066438913345337
800,3,224,1.0,0.0,4.275144577026367
850,1,32,1.0,0.0,4.186773777008057
850,1,64,1.0,0.0,4.158392429351807
850,1,128,1.0,0.0,4.4103405475616455
850,2,96,1.0,0.0,4.2232115268707275
850,2,192,1.0,0.0,4.506299257278442
850,3,224,1.0,0.0,4.3307719230651855
900,1,32,1.0,0.0,4.558627367019653
900,1,64,1.0,0.0,4.403076648712158
900,1,128,1.0,0.0,4.710885763168335
900,2,96,1.0,0.0,4.459813594818115
900,2,192,1.0,0.0,4.777746677398682
900,3,224,1.0,0.0,4.583711624145508
